XSharp.RDD.DLL,AdsCreateIndex90,ADS,,
XSharp.RDD.DLL,AdsCreateSQLStatement,ADS,,
XSharp.RDD.DLL,AdsCreateTable90,ADS,,
XSharp.RDD.DLL,AdsDecryptRecord,ADS,,
XSharp.RDD.DLL,AdsDecryptTable,ADS,,
XSharp.RDD.DLL,AdsDeleteCustomKey,ADS,,
XSharp.RDD.DLL,AdsDeleteIndex,ADS,,
XSharp.RDD.DLL,AdsDeleteRecord,ADS,,
XSharp.RDD.DLL,AdsDisableAutoIncEnforcement,ADS,,
XSharp.RDD.DLL,AdsDisableEncryption,ADS,,
XSharp.RDD.DLL,AdsDisableLocalConnections,ADS,,
XSharp.RDD.DLL,AdsDisableRI,ADS,,
XSharp.RDD.DLL,AdsDisableUniqueEnforcement,ADS,,
XSharp.RDD.DLL,AdsDisconnect,ADS,,
XSharp.RDD.DLL,AdsEnableAutoIncEnforcement,ADS,,
XSharp.RDD.DLL,AdsEnableEncryption,ADS,,
XSharp.RDD.DLL,AdsEnableRI,ADS,,
XSharp.RDD.DLL,AdsEnableUniqueEnforcement,ADS,,
XSharp.RDD.DLL,AdsEncryptRecord,ADS,,
XSharp.RDD.DLL,AdsEncryptTable,ADS,,
XSharp.RDD.DLL,AdsEvalLogicalExpr,ADS,,
XSharp.RDD.DLL,AdsEvalNumericExpr,ADS,,
XSharp.RDD.DLL,AdsEvalStringExpr,ADS,,
XSharp.RDD.DLL,AdsEvalTestExpr,ADS,,
XSharp.RDD.DLL,AdsExecuteSQL,ADS,,
XSharp.RDD.DLL,AdsExecuteSQLDirect,ADS,,
XSharp.RDD.DLL,AdsExtractKey,ADS,,
XSharp.RDD.DLL,AdsFileToBinary,ADS,,
XSharp.RDD.DLL,AdsFindConnection,ADS,,
XSharp.RDD.DLL,AdsFlushFileBuffers,ADS,,
XSharp.RDD.DLL,AdsGetAllIndexes,ADS,,
XSharp.RDD.DLL,AdsGetAllLocks,ADS,Locking,
XSharp.RDD.DLL,AdsGetAllTables,ADS,,
XSharp.RDD.DLL,AdsGetAOFOptLevel,ADS,,
XSharp.RDD.DLL,AdsGetBinary,ADS,,
XSharp.RDD.DLL,AdsGetBinaryLength,ADS,,
XSharp.RDD.DLL,AdsGetBookmark,ADS,,
XSharp.RDD.DLL,AdsGetConnectionType,ADS,,
XSharp.RDD.DLL,AdsGetDate,ADS,,
XSharp.RDD.DLL,AdsGetDateFormat,ADS,,
XSharp.RDD.DLL,AdsGetDouble,ADS,,
XSharp.RDD.DLL,AdsGetErrorMessage,ADS,,
XSharp.RDD.DLL,AdsGetField,ADS,,
XSharp.RDD.DLL,AdsGetFieldDecimals,ADS,,
XSharp.RDD.DLL,AdsGetFieldLength,ADS,,
XSharp.RDD.DLL,AdsGetFieldName,ADS,,
XSharp.RDD.DLL,AdsGetFieldType,ADS,,
XSharp.RDD.DLL,AdsGetFTSIndexes,ADS,,
XSharp.RDD.DLL,AdsGetHandleType,ADS,,
XSharp.RDD.DLL,AdsGetIndexCondition,ADS,,
XSharp.RDD.DLL,AdsGetIndexExpr,ADS,,
XSharp.RDD.DLL,AdsGetIndexFilename,ADS,,
XSharp.RDD.DLL,AdsGetIndexHandle,ADS,,
XSharp.RDD.DLL,AdsGetIndexHandleByOrder,ADS,,
XSharp.RDD.DLL,AdsGetIndexName,ADS,,
XSharp.RDD.DLL,AdsGetIndexOrderByHandle,ADS,,
XSharp.RDD.DLL,AdsGetJulian,ADS,,
XSharp.RDD.DLL,AdsGetKeyCount,ADS,,
XSharp.RDD.DLL,AdsGetKeyLength,ADS,,
XSharp.RDD.DLL,AdsGetKeyNum,ADS,,
XSharp.RDD.DLL,AdsGetKeyType,ADS,,
XSharp.RDD.DLL,AdsGetLastError,ADS,,
XSharp.RDD.DLL,AdsGetLastTableUpdate,ADS,,
XSharp.RDD.DLL,AdsGetLogical,ADS,,
XSharp.RDD.DLL,AdsGetMemoBlockSize,ADS,,
XSharp.RDD.DLL,AdsGetMemoLength,ADS,,
XSharp.RDD.DLL,AdsGetNumFields,ADS,,
XSharp.RDD.DLL,AdsGetNumIndexes,ADS,,
XSharp.RDD.DLL,AdsGetNumLocks,ADS,Locking,
XSharp.RDD.DLL,AdsGetRecordCount,ADS,,
XSharp.RDD.DLL,AdsGetRecordCRC,ADS,,
XSharp.RDD.DLL,AdsGetRecordLength,ADS,,
XSharp.RDD.DLL,AdsGetRecordNum,ADS,,
XSharp.RDD.DLL,AdsGetRelKeyPos,ADS,,
XSharp.RDD.DLL,AdsGetScope,ADS,,
XSharp.RDD.DLL,AdsGetString,ADS,,
XSharp.RDD.DLL,AdsGetStringW,ADS,,
XSharp.RDD.DLL,AdsGetTableFilename,ADS,,
XSharp.RDD.DLL,AdsGetTableOpenOptions,ADS,,
XSharp.RDD.DLL,AdsGetTableType,ADS,,
XSharp.RDD.DLL,AdsGotoBottom,ADS,,
XSharp.RDD.DLL,AdsGotoRecord,ADS,,
XSharp.RDD.DLL,AdsGotoTop,ADS,,
XSharp.RDD.DLL,AdsInitRawKey,ADS,,
XSharp.RDD.DLL,AdsInTransaction,ADS,,
XSharp.RDD.DLL,AdsIsEmpty,ADS,,
XSharp.RDD.DLL,AdsIsFound,ADS,,
XSharp.RDD.DLL,AdsIsIndexCustom,ADS,,
XSharp.RDD.DLL,AdsIsIndexDescending,ADS,,
XSharp.RDD.DLL,AdsIsIndexUnique,ADS,,
XSharp.RDD.DLL,AdsIsRecordDeleted,ADS,,
XSharp.RDD.DLL,AdsIsRecordLocked,ADS,Locking,
XSharp.RDD.DLL,AdsIsRecordVisible,ADS,,
XSharp.RDD.DLL,AdsIsServerLoaded,ADS,,
XSharp.RDD.DLL,AdsIsTableLocked,ADS,Locking,
XSharp.RDD.DLL,AdsLockRecord,ADS,Locking,
XSharp.RDD.DLL,AdsLockTable,ADS,Locking,
XSharp.RDD.DLL,AdsMgConnect,ADS,,
